,name,team,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,season,week,next_fp,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
135,Alshon Jeffery,Bears,9.0,6.0,107.0,1.0,0.0,0.0,0.0,16.7,2015,14,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
136,Amari Cooper,Raiders,11.0,7.0,109.0,1.0,0.0,0.0,0.0,16.9,2015,2,13.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
137,Michael Crabtree,Raiders,16.0,9.0,111.0,1.0,0.0,0.0,0.0,17.1,2015,2,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
138,Seth Roberts,Raiders,1.0,1.0,12.0,1.0,0.0,0.0,0.0,7.2,2015,2,11.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
139,Amari Cooper,Raiders,11.0,8.0,134.0,0.0,0.0,0.0,0.0,13.4,2015,3,10.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
140,Andre Holmes,Raiders,1.0,1.0,3.0,1.0,0.0,0.0,0.0,6.3,2015,3,17.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
141,Seth Roberts,Raiders,5.0,3.0,56.0,1.0,0.0,0.0,0.0,11.6,2015,3,7.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
142,Amari Cooper,Raiders,9.0,4.0,49.0,1.0,0.0,0.0,0.0,10.9,2015,4,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
143,Michael Crabtree,Raiders,6.0,5.0,80.0,0.0,0.0,0.0,0.0,8.0,2015,4,5.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
144,Amari Cooper,Raiders,4.0,4.0,47.0,0.0,1.0,2.0,0.0,4.9,2015,5,19.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
145,Michael Crabtree,Raiders,9.0,4.0,54.0,0.0,0.0,0.0,0.0,5.4,2015,5,12.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
146,Amari Cooper,Raiders,6.0,5.0,133.0,1.0,0.0,0.0,0.0,19.3,2015,7,4.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
147,Michael Crabtree,Raiders,8.0,6.0,63.0,1.0,0.0,0.0,0.0,12.3,2015,7,16.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
