,name,team,rec_target,rec_rec,rec_yd,rec_td,fp,season,week,next_fp,rush_att,rush_yd,rush_td,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
2850,Jared Cook,Rams,7.0,3.0,37.0,0.0,3.7,2014,17,8.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2851,Lance Kendricks,Rams,2.0,1.0,17.0,0.0,1.7,2014,17,10.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2852,Jared Cook,Rams,6.0,5.0,85.0,0.0,8.5,2015,1,4.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2853,Lance Kendricks,Rams,2.0,2.0,42.0,1.0,10.2,2015,1,1.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2854,Jared Cook,Rams,7.0,5.0,47.0,0.0,4.7,2015,2,0.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2855,Lance Kendricks,Rams,2.0,1.0,15.0,0.0,1.5,2015,2,1.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2856,Jared Cook,Rams,3.0,1.0,7.0,0.0,0.7,2015,3,2.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2857,Lance Kendricks,Rams,5.0,2.0,12.0,0.0,1.2,2015,3,1.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2858,Jared Cook,Rams,6.0,1.0,8.0,0.0,0.8,2015,5,1.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2859,Lance Kendricks,Rams,3.0,2.0,16.0,0.0,1.6,2015,5,0.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2860,Jared Cook,Rams,3.0,2.0,57.0,0.0,5.7,2015,8,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2861,Lance Kendricks,Rams,2.0,2.0,7.0,0.0,0.7,2015,8,2.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2862,Jared Cook,Rams,3.0,1.0,10.0,0.0,1.0,2015,9,3.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2863,Lance Kendricks,Rams,2.0,2.0,25.0,0.0,2.5,2015,9,10.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2864,Jared Cook,Rams,3.0,2.0,35.0,0.0,3.5,2015,10,3.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2865,Jared Cook,Rams,6.0,4.0,31.0,0.0,3.1,2015,11,5.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2866,Lance Kendricks,Rams,4.0,2.0,43.0,1.0,10.3,2015,11,1.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2867,Jared Cook,Rams,6.0,4.0,58.0,0.0,5.8,2015,12,2.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2868,Lance Kendricks,Rams,4.0,3.0,17.0,0.0,1.7,2015,12,2.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2869,Jared Cook,Rams,9.0,3.0,22.0,0.0,2.2,2015,13,1.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2870,Jared Cook,Rams,1.0,1.0,11.0,0.0,1.1,2015,14,6.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2871,Jared Cook,Rams,6.0,4.0,64.0,0.0,6.4,2015,15,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2872,Lance Kendricks,Rams,3.0,3.0,27.0,0.0,2.7,2015,15,3.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2873,Jason Witten,Cowboys,6.0,2.0,14.0,0.0,1.4,2014,1,3.2,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2874,Jason Witten,Cowboys,7.0,4.0,32.0,0.0,3.2,2014,2,4.9,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2875,Jason Witten,Cowboys,5.0,4.0,59.0,0.0,5.9,2014,5,8.4,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2876,Jason Witten,Cowboys,7.0,6.0,62.0,0.0,6.2,2014,9,9.3,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2877,Jason Witten,Cowboys,2.0,1.0,8.0,0.0,0.8,2014,13,2.6,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2878,Jason Witten,Cowboys,7.0,7.0,90.0,1.0,15.0,2014,16,4.9,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2879,Jason Witten,Cowboys,8.0,6.0,65.0,0.0,6.5,2015,3,5.7,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2880,Jason Witten,Cowboys,4.0,2.0,16.0,0.0,1.6,2015,8,4.3,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2881,Jason Witten,Cowboys,8.0,6.0,43.0,0.0,4.3,2015,9,4.2,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2882,Jason Witten,Cowboys,3.0,2.0,27.0,0.0,2.7,2015,11,3.6,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2883,Jason Witten,Cowboys,6.0,4.0,36.0,0.0,3.6,2015,12,4.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
