,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp,rush_att,rush_yd,rush_td
167,Charles Clay,BUF,1,7,5,47,0,4.7,4.7,2016,4,7.3,,,
211,Charles Clay,BUF,1,5,5,73,0,7.3,7.3,2016,5,5.2,,,
265,Charles Clay,BUF,1,7,5,52,0,5.2,5.2,2016,6,2.9,,,
318,Charles Clay,BUF,1,5,2,29,0,2.9,2.9,2016,7,0.6,,,
391,Charles Clay,BUF,1,6,2,6,0,0.6,0.6,2016,8,0.9,,,
442,Charles Clay,BUF,1,4,3,9,0,0.9,0.9,2016,9,2.3,,,
524,Charles Clay,BUF,1,7,5,23,0,2.3,2.3,2016,11,1.7,,,
584,Charles Clay,BUF,1,4,2,17,0,1.7,1.7,2016,12,11.2,,,
653,Charles Clay,BUF,1,6,3,52,1,11.2,11.2,2016,14,13.2,,,
702,Charles Clay,BUF,1,7,7,72,1,13.2,13.2,2016,15,20.5,,,
751,Charles Clay,BUF,1,10,8,85,2,20.5,20.5,2016,16,2.0,,,
829,Charles Clay,BUF,1,7,3,20,0,2.0,2.0,2016,17,11.3,,,
854,Charles Clay,BUF,1,9,4,53,1,11.3,11.3,2017,1,2.3,,,
931,Charles Clay,BUF,1,3,3,23,0,2.3,2.3,2017,2,9.9,,,
958,Charles Clay,BUF,1,6,6,39,1,9.9,9.9,2017,3,11.2,,,
1005,Charles Clay,BUF,1,7,5,112,0,11.2,11.2,2017,4,3.1,,,
1072,Charles Clay,BUF,1,3,2,31,0,3.1,3.1,2017,5,1.3,,,
1327,Charles Clay,BUF,1,3,2,13,0,1.3,1.3,2017,10,2.7,,,
1372,Charles Clay,BUF,1,4,3,27,0,2.7,2.7,2017,11,6.0,,,
1411,Charles Clay,BUF,1,4,4,60,0,6.0,6.0,2017,12,2.0,,,
1482,Charles Clay,BUF,1,3,3,20,0,2.0,2.0,2017,13,1.1,,,
1535,Charles Clay,BUF,1,5,2,11,0,1.1,1.1,2017,14,6.8,,,
1565,Charles Clay,BUF,1,9,5,68,0,6.8,6.8,2017,15,3.7,,,
1616,Charles Clay,BUF,1,10,4,37,0,3.7,3.7,2017,16,6.4,,,
1656,Charles Clay,BUF,1,8,6,64,0,6.4,6.4,2017,17,,,,
799,Chris Manhertz,CAR,1,1,1,10,0,1.0,1.0,2016,16,1.1,,,
1193,Chris Manhertz,CAR,1,2,1,11,0,1.1,1.1,2017,7,0.6,,,
1549,Chris Manhertz,CAR,1,1,1,6,0,0.6,0.6,2017,14,,,,
26,Clive Walford,OAK,1,5,3,25,0,2.5,2.5,2016,1,11.0,,,
55,Clive Walford,OAK,1,7,6,50,1,11.0,11.0,2016,2,2.7,,,
124,Clive Walford,OAK,1,3,2,27,0,2.7,2.7,2016,3,2.3,,,
174,Clive Walford,OAK,1,4,2,23,0,2.3,2.3,2016,4,2.5,,,
279,Clive Walford,OAK,1,2,2,25,0,2.5,2.5,2016,6,0.5,,,
345,Clive Walford,OAK,1,2,1,5,0,0.5,0.5,2016,7,3.1,,,
375,Clive Walford,OAK,1,4,3,31,0,3.1,3.1,2016,8,1.3,,,
438,Clive Walford,OAK,1,3,2,13,0,1.3,1.3,2016,9,2.8,,,
523,Clive Walford,OAK,1,4,2,28,0,2.8,2.8,2016,11,10.3,,,
555,Clive Walford,OAK,1,4,3,43,1,10.3,10.3,2016,12,1.8,,,
629,Clive Walford,OAK,1,3,1,18,0,1.8,1.8,2016,13,2.1,,,
678,Clive Walford,OAK,1,3,2,21,0,2.1,2.1,2016,14,1.3,,,
739,Clive Walford,OAK,1,3,1,13,0,1.3,1.3,2016,15,8.0,,,
761,Clive Walford,OAK,1,2,2,20,1,8.0,8.0,2016,16,1.7,,,
833,Clive Walford,OAK,1,3,1,17,0,1.7,1.7,2016,17,5.7,,,
1464,Clive Walford,OAK,1,4,4,57,0,5.7,5.7,2017,13,1.3,,,
1530,Clive Walford,OAK,1,4,2,13,0,1.3,1.3,2017,14,,,,
46,Coby Fleener,NO,1,4,1,6,0,0.6,0.6,2016,1,2.9,,,
80,Coby Fleener,NO,1,8,2,29,0,2.9,2.9,2016,2,16.9,,,
101,Coby Fleener,NO,1,11,7,109,1,16.9,16.9,2016,3,1.9,,,
177,Coby Fleener,NO,1,5,3,19,0,1.9,1.9,2016,4,19.6,,,
251,Coby Fleener,NO,1,7,6,74,1,19.6,19.6,2016,6,4.4,,,
312,Coby Fleener,NO,1,2,2,44,0,4.4,4.4,2016,7,3.6,,,
369,Coby Fleener,NO,1,4,4,36,0,3.6,3.6,2016,8,4.2,,,
421,Coby Fleener,NO,1,6,3,42,0,4.2,4.2,2016,9,2.6,,,
482,Coby Fleener,NO,1,2,2,26,0,2.6,2.6,2016,10,7.7,,,
511,Coby Fleener,NO,1,5,3,17,1,7.7,7.7,2016,11,5.9,,,
567,Coby Fleener,NO,1,4,4,59,0,5.9,5.9,2016,12,8.6,,,
608,Coby Fleener,NO,1,7,5,86,0,8.6,8.6,2016,13,1.0,,,
