,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week,next_fp
1237,Brandon LaFell,CIN,1,5,4,44,0,0,0,0,4.4,4.4,2017,8,15.5
1308,Brandon LaFell,CIN,1,10,6,95,1,0,0,0,15.5,15.5,2017,10,3.7
1399,Brandon LaFell,CIN,1,5,3,37,0,0,0,0,3.7,3.7,2017,11,5.5
1488,Brandon LaFell,CIN,1,7,4,55,0,0,0,0,5.5,5.5,2017,13,8.4
1530,Brandon LaFell,CIN,1,6,3,24,1,0,0,0,8.4,8.4,2017,14,5.3
1592,Brandon LaFell,CIN,1,6,2,53,0,0,0,0,5.3,5.3,2017,15,
76,Brandon Marshall,NYJ,1,9,6,101,0,0,0,0,10.1,10.1,2016,2,14.9
159,Brandon Marshall,NYJ,1,12,4,89,1,0,0,0,14.9,14.9,2016,4,17.4
208,Brandon Marshall,NYJ,1,15,8,114,1,0,0,0,17.4,17.4,2016,5,7.0
292,Brandon Marshall,NYJ,1,6,3,70,0,0,0,0,7.0,7.0,2016,6,6.8
389,Brandon Marshall,NYJ,1,9,4,68,0,0,0,0,6.8,6.8,2016,8,12.7
569,Brandon Marshall,NYJ,1,9,6,67,1,0,0,0,12.7,12.7,2016,12,6.6
996,Brandon Marshall,NYG,1,11,8,66,0,0,0,0,6.6,6.6,2017,3,
548,Brandon Tate,BUF,1,3,2,48,0,0,0,0,4.8,4.8,2016,11,8.5
1076,Brandon Tate,BUF,1,4,2,25,1,0,0,0,8.5,8.5,2017,5,
525,Braxton Miller,HOU,1,7,5,25,1,1,1,0,8.6,8.6,2016,11,5.5
1138,Braxton Miller,HOU,1,2,2,-5,1,0,0,0,5.5,5.5,2017,6,7.1
1480,Braxton Miller,HOU,1,4,4,71,0,0,0,0,7.1,7.1,2017,13,
468,Breshad Perriman,BAL,1,4,3,64,1,0,0,0,12.4,12.4,2016,10,7.4
589,Breshad Perriman,BAL,1,3,1,14,1,0,0,0,7.4,7.4,2016,12,11.9
612,Breshad Perriman,BAL,1,3,2,59,1,0,0,0,11.9,11.9,2016,13,5.2
694,Breshad Perriman,BAL,1,4,3,52,0,0,0,0,5.2,5.2,2016,14,6.2
842,Breshad Perriman,BAL,1,8,4,62,0,0,0,0,6.2,6.2,2016,17,
117,Brian Quick,LAR,1,2,2,53,1,0,0,0,11.3,11.3,2016,3,18.9
153,Brian Quick,LAR,1,6,2,69,2,0,0,0,18.9,18.9,2016,4,5.1
242,Brian Quick,LAR,1,4,3,51,0,0,0,0,5.1,5.1,2016,5,6.1
298,Brian Quick,LAR,1,5,5,61,0,0,0,0,6.1,6.1,2016,6,9.2
325,Brian Quick,LAR,1,9,4,92,0,0,0,0,9.2,9.2,2016,7,4.8
446,Brian Quick,LAR,1,6,4,48,0,0,0,0,4.8,4.8,2016,9,4.9
1292,Brian Quick,WAS,1,3,3,49,0,0,0,0,4.9,4.9,2017,9,
174,Brice Butler,DAL,1,9,5,41,1,0,0,0,10.1,10.1,2016,4,8.0
281,Brice Butler,DAL,1,3,1,20,1,0,0,0,8.0,8.0,2016,6,4.9
544,Brice Butler,DAL,1,2,2,49,0,0,0,0,4.9,4.9,2016,11,8.1
791,Brice Butler,DAL,1,1,1,21,1,0,0,0,8.1,8.1,2016,16,15.0
963,Brice Butler,DAL,1,2,2,90,1,0,0,0,15.0,15.0,2017,3,7.2
1029,Brice Butler,DAL,1,2,2,12,1,0,0,0,7.2,7.2,2017,4,5.7
1085,Brice Butler,DAL,1,2,2,57,0,0,0,0,5.7,5.7,2017,5,11.0
1668,Brice Butler,DAL,1,2,2,50,1,0,0,0,11.0,11.0,2017,17,
973,Bruce Ellington,HOU,1,7,4,59,1,1,-1,0,11.8,11.8,2017,3,5.7
1040,Bruce Ellington,HOU,1,4,3,44,0,1,13,0,5.7,5.7,2017,4,10.1
1323,Bruce Ellington,HOU,1,8,4,41,1,0,0,0,10.1,10.1,2017,10,6.8
1382,Bruce Ellington,HOU,1,7,6,63,0,1,5,0,6.8,6.8,2017,11,
385,Bryan Walters,JAC,1,2,2,14,1,0,0,0,7.4,7.4,2016,8,9.1
675,Bryan Walters,JAC,1,4,4,31,1,0,0,0,9.1,9.1,2016,14,8.8
827,Bryan Walters,JAC,1,9,8,84,0,1,4,0,8.8,8.8,2016,17,
204,Cameron Meredith,CHI,1,12,9,130,1,1,6,0,19.6,19.6,2016,5,11.3
265,Cameron Meredith,CHI,1,15,11,113,0,0,0,0,11.3,11.3,2016,6,11.0
472,Cameron Meredith,CHI,1,2,1,50,1,0,0,0,11.0,11.0,2016,10,4.9
546,Cameron Meredith,CHI,1,4,4,49,0,0,0,0,4.9,4.9,2016,11,6.7
639,Cameron Meredith,CHI,1,4,3,67,0,0,0,0,6.7,6.7,2016,13,13.2
661,Cameron Meredith,CHI,1,8,6,72,1,0,0,0,13.2,13.2,2016,14,10.4
724,Cameron Meredith,CHI,1,13,9,104,0,0,0,0,10.4,10.4,2016,15,19.5
754,Cameron Meredith,CHI,1,12,9,135,1,0,0,0,19.5,19.5,2016,16,6.1
845,Cameron Meredith,CHI,1,6,4,61,0,0,0,0,6.1,6.1,2016,17,
190,Charles Johnson,MIN,1,4,2,70,0,0,0,0,7.0,7.0,2016,4,5.0
746,Charles Johnson,MIN,1,5,5,50,0,0,0,0,5.0,5.0,2016,15,
296,Chester Rogers,IND,1,4,4,63,0,0,0,0,6.3,6.3,2016,6,7.2
837,Chester Rogers,IND,1,7,4,72,0,0,0,0,7.2,7.2,2016,17,16.7
1304,Chester Rogers,IND,1,6,6,104,1,1,3,0,16.7,16.7,2017,10,3.9
1697,Chester Rogers,IND,1,4,2,39,0,0,0,0,3.9,3.9,2017,17,
189,Chris Conley,KC,1,7,6,70,0,0,0,0,7.0,7.0,2016,4,5.9
393,Chris Conley,KC,1,5,3,59,0,0,0,0,5.9,5.9,2016,8,7.0
684,Chris Conley,KC,1,3,2,70,0,0,0,0,7.0,7.0,2016,14,5.5
848,Chris Conley,KC,1,5,4,55,0,0,0,0,5.5,5.5,2016,17,5.5
942,Chris Conley,KC,1,4,4,55,0,0,0,0,5.5,5.5,2017,2,4.6
1092,Chris Conley,KC,1,3,3,46,0,0,0,0,4.6,4.6,2017,5,
1334,Chris Godwin,TB,1,10,5,68,0,0,0,0,6.8,6.8,2017,10,3.8
