,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp
909,Carlos Hyde,SF,1,15,124,0,6,3,19,0,14.3,14.3,2017,2,21.4
955,Carlos Hyde,SF,1,25,84,2,4,3,10,0,21.4,21.4,2017,3,9.5
1026,Carlos Hyde,SF,1,16,68,0,6,5,27,0,9.5,9.5,2017,4,19.5
1107,Carlos Hyde,SF,1,13,28,2,6,5,47,0,19.5,19.5,2017,6,8.8
1166,Carlos Hyde,SF,1,14,68,0,8,4,20,0,8.8,8.8,2017,7,4.7
1238,Carlos Hyde,SF,1,12,25,0,9,4,22,0,4.7,4.7,2017,8,12.5
1261,Carlos Hyde,SF,1,12,41,0,11,9,84,0,12.5,12.5,2017,9,10.4
1321,Carlos Hyde,SF,1,17,98,0,3,2,6,0,10.4,10.4,2017,10,6.8
1429,Carlos Hyde,SF,1,16,47,0,13,7,21,0,6.8,6.8,2017,12,6.6
1487,Carlos Hyde,SF,1,17,54,0,5,3,12,0,6.6,6.6,2017,13,13.8
1516,Carlos Hyde,SF,1,14,78,1,1,0,0,0,13.8,13.8,2017,14,3.9
1598,Carlos Hyde,SF,1,16,25,0,2,2,14,0,3.9,3.9,2017,15,13.3
1614,Carlos Hyde,SF,1,21,54,1,3,3,19,0,13.3,13.3,2017,16,22.0
1652,Carlos Hyde,SF,1,15,90,2,4,2,10,0,22.0,22.0,2017,17,
81,Charcandrick West,KC,1,6,61,0,2,1,2,0,6.3,6.3,2016,2,6.0
382,Charcandrick West,KC,1,14,52,0,3,2,8,0,6.0,6.0,2016,8,7.4
420,Charcandrick West,KC,1,13,39,0,4,3,35,0,7.4,7.4,2016,9,4.2
540,Charcandrick West,KC,1,0,0,0,3,3,42,0,4.2,4.2,2016,11,6.4
682,Charcandrick West,KC,1,2,4,1,0,0,0,0,6.4,6.4,2016,14,23.6
802,Charcandrick West,KC,1,16,58,0,5,5,58,2,23.6,23.6,2016,17,8.5
874,Charcandrick West,KC,1,1,21,1,1,1,4,0,8.5,8.5,2017,1,3.5
1049,Charcandrick West,KC,1,1,2,0,5,5,33,0,3.5,3.5,2017,4,13.3
1058,Charcandrick West,KC,1,1,1,0,2,2,12,2,13.3,13.3,2017,5,3.3
1290,Charcandrick West,KC,1,1,3,0,6,5,30,0,3.3,3.3,2017,9,2.4
1398,Charcandrick West,KC,1,4,15,0,4,4,9,0,2.4,2.4,2017,11,8.5
1528,Charcandrick West,KC,1,3,25,1,2,0,0,0,8.5,8.5,2017,14,
22,Charles Sims,TB,1,4,9,0,3,3,32,1,10.1,10.1,2016,1,18.4
111,Charles Sims,TB,1,13,55,1,8,6,69,0,18.4,18.4,2016,3,3.5
192,Charles Sims,TB,1,15,28,0,3,2,7,0,3.5,3.5,2016,4,5.0
690,Charles Sims,TB,1,4,17,0,4,3,33,0,5.0,5.0,2016,14,3.4
1096,Charles Sims,TB,1,1,3,0,7,5,31,0,3.4,3.4,2017,5,4.5
1136,Charles Sims,TB,1,0,0,0,5,4,45,0,4.5,4.5,2017,6,9.0
1324,Charles Sims,TB,1,3,20,0,4,3,10,1,9.0,9.0,2017,10,2.8
1395,Charles Sims,TB,1,1,3,0,5,3,25,0,2.8,2.8,2017,11,5.1
1494,Charles Sims,TB,1,3,16,0,2,2,35,0,5.1,5.1,2017,13,
889,Chris Carson,SEA,1,6,39,0,1,1,10,0,4.9,4.9,2017,1,10.0
920,Chris Carson,SEA,1,20,93,0,2,1,7,0,10.0,10.0,2017,2,11.2
967,Chris Carson,SEA,1,11,34,0,2,2,18,1,11.2,11.2,2017,3,6.6
1034,Chris Carson,SEA,1,12,42,0,3,3,24,0,6.6,6.6,2017,4,
199,Chris Ivory,JAC,1,8,29,0,1,0,0,0,2.9,2.9,2016,4,9.5
271,Chris Ivory,JAC,1,11,32,1,2,2,3,0,9.5,9.5,2016,6,5.1
338,Chris Ivory,JAC,1,5,48,0,4,2,3,0,5.1,5.1,2016,7,10.7
413,Chris Ivory,JAC,1,18,107,0,2,1,0,0,10.7,10.7,2016,9,4.1
484,Chris Ivory,JAC,1,9,31,0,3,2,10,0,4.1,4.1,2016,10,11.4
515,Chris Ivory,JAC,1,17,39,0,6,6,75,0,11.4,11.4,2016,11,11.5
563,Chris Ivory,JAC,1,9,44,1,1,1,11,0,11.5,11.5,2016,12,4.4
743,Chris Ivory,JAC,1,10,44,0,1,0,0,0,4.4,4.4,2016,15,17.4
760,Chris Ivory,JAC,1,14,45,1,6,4,69,0,17.4,17.4,2016,16,5.3
886,Chris Ivory,JAC,1,9,42,0,2,1,11,0,5.3,5.3,2017,1,4.8
938,Chris Ivory,JAC,1,6,17,0,4,3,31,0,4.8,4.8,2017,2,4.2
991,Chris Ivory,JAC,1,6,17,0,2,2,25,0,4.2,4.2,2017,3,4.4
1047,Chris Ivory,JAC,1,9,42,0,3,1,2,0,4.4,4.4,2017,4,4.1
1089,Chris Ivory,JAC,1,8,41,0,0,0,0,0,4.1,4.1,2017,5,13.7
1111,Chris Ivory,JAC,1,2,3,0,10,9,74,1,13.7,13.7,2017,6,10.7
1160,Chris Ivory,JAC,1,17,47,1,0,0,0,0,10.7,10.7,2017,7,10.3
1266,Chris Ivory,JAC,1,20,69,0,4,3,34,0,10.3,10.3,2017,9,4.8
1545,Chris Ivory,JAC,1,6,48,0,0,0,0,0,4.8,4.8,2017,14,4.2
1596,Chris Ivory,JAC,1,17,42,0,0,0,0,0,4.2,4.2,2017,15,
66,Chris Johnson,ARI,1,16,54,1,0,0,0,0,11.4,11.4,2016,2,3.4
193,Chris Johnson,ARI,1,6,34,0,1,0,0,0,3.4,3.4,2016,4,4.4
940,Chris Johnson,ARI,1,11,44,0,0,0,0,0,4.4,4.4,2017,2,6.3
1035,Chris Johnson,ARI,1,13,32,0,3,3,31,0,6.3,6.3,2017,4,
24,Chris Thompson,WAS,1,4,23,1,2,2,16,0,9.9,9.9,2016,1,5.8
83,Chris Thompson,WAS,1,2,1,0,4,3,57,0,5.8,5.8,2016,2,10.0
171,Chris Thompson,WAS,1,3,24,0,4,2,16,1,10.0,10.0,2016,4,4.5
239,Chris Thompson,WAS,1,2,12,0,4,4,33,0,4.5,4.5,2016,5,6.6
279,Chris Thompson,WAS,1,9,37,0,3,3,29,0,6.6,6.6,2016,6,11.3
321,Chris Thompson,WAS,1,12,73,0,7,7,40,0,11.3,11.3,2016,7,4.1
388,Chris Thompson,WAS,1,7,14,0,5,5,27,0,4.1,4.1,2016,8,3.6
489,Chris Thompson,WAS,1,4,25,0,3,3,11,0,3.6,3.6,2016,10,3.4
596,Chris Thompson,WAS,1,4,17,0,6,5,17,0,3.4,3.4,2016,12,4.5
642,Chris Thompson,WAS,1,2,24,0,2,1,21,0,4.5,4.5,2016,13,9.8
673,Chris Thompson,WAS,1,3,38,1,1,0,0,0,9.8,9.8,2016,14,3.6
749,Chris Thompson,WAS,1,2,10,0,7,5,26,0,3.6,3.6,2016,15,15.7
762,Chris Thompson,WAS,1,3,20,1,1,1,17,1,15.7,15.7,2016,16,4.2
846,Chris Thompson,WAS,1,3,5,0,8,6,37,0,4.2,4.2,2016,17,11.6
863,Chris Thompson,WAS,1,3,4,0,5,4,52,1,11.6,11.6,2017,1,22.6
904,Chris Thompson,WAS,1,3,77,2,7,3,29,0,22.6,22.6,2017,2,24.8
952,Chris Thompson,WAS,1,8,38,0,7,6,150,1,24.8,24.8,2017,3,13.8
1110,Chris Thompson,WAS,1,16,33,0,5,4,105,0,13.8,13.8,2017,6,12.4
1158,Chris Thompson,WAS,1,7,38,0,5,5,26,1,12.4,12.4,2017,7,9.4
1220,Chris Thompson,WAS,1,4,18,0,9,8,76,0,9.4,9.4,2017,8,3.1
1291,Chris Thompson,WAS,1,4,20,0,6,4,11,0,3.1,3.1,2017,9,6.7
1330,Chris Thompson,WAS,1,9,26,0,7,3,41,0,6.7,6.7,2017,10,9.3
1376,Chris Thompson,WAS,1,4,17,0,1,1,16,1,9.3,9.3,2017,11,
873,Christian McCaffrey,CAR,1,13,47,0,7,5,38,0,8.5,8.5,2017,1,4.4
941,Christian McCaffrey,CAR,1,8,10,0,5,4,34,0,4.4,4.4,2017,2,11.7
966,Christian McCaffrey,CAR,1,4,16,0,11,9,101,0,11.7,11.7,2017,3,4.9
1041,Christian McCaffrey,CAR,1,6,16,0,6,4,33,0,4.9,4.9,2017,4,9.8
1065,Christian McCaffrey,CAR,1,3,7,0,7,5,31,1,9.8,9.8,2017,5,12.4
1115,Christian McCaffrey,CAR,1,4,8,0,14,10,56,1,12.4,12.4,2017,6,4.6
1189,Christian McCaffrey,CAR,1,7,10,0,9,7,36,0,4.6,4.6,2017,7,5.2
1237,Christian McCaffrey,CAR,1,4,3,0,7,5,49,0,5.2,5.2,2017,8,15.4
1256,Christian McCaffrey,CAR,1,15,66,1,6,5,28,0,15.4,15.4,2017,9,17.0
1304,Christian McCaffrey,CAR,1,5,23,1,7,3,27,1,17.0,17.0,2017,10,9.7
1421,Christian McCaffrey,CAR,1,7,62,0,5,2,35,0,9.7,9.7,2017,12,10.9
1469,Christian McCaffrey,CAR,1,6,16,0,6,5,33,1,10.9,10.9,2017,13,5.3
1541,Christian McCaffrey,CAR,1,8,35,0,4,3,18,0,5.3,5.3,2017,14,19.6
1557,Christian McCaffrey,CAR,1,12,63,0,7,6,73,1,19.6,19.6,2017,15,5.8
1636,Christian McCaffrey,CAR,1,9,39,0,4,2,19,0,5.8,5.8,2017,16,5.4
